Tempo,Pulsos Encoder Motor,Posi��o Angular do Motor [graus],Posi��o Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder P�ndulo,Posi��o Angular P�ndulo em [graus],Posi��o Angular P�ndulo [rad],Velocidade Angular do P�ndulo [rad/s],PWM,Tensao
0,0,0,0,0,0,0,0,0,0,0
3.24,-1.0,-0.15,-0.0,3.4,0.0,0.0,0.0,0.0,255.0,24.0
3.24,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.2,255.0,-24.0
3.3,-10.0,-1.5,-0.01,2.6,-9.0,-1.16,-0.0,-2.2,255.0,-24.0
3.37,-30.0,-4.5,-0.02,-1.0,-27.0,-3.47,-0.01,-5.4,255.0,-24.0
3.45,-68.0,-10.2,-0.04,-5.0,-67.0,-8.61,-0.03,-10.6,255.0,-24.0
3.52,-119.0,-17.85,-0.06,-11.4,-136.0,-17.49,-0.06,-17.2,255.0,-24.0
3.6,-177.0,-26.55,-0.09,-13.2,-243.0,-31.24,-0.11,-24.2,255.0,-24.0
3.68,-230.0,-34.5,-0.12,-12.0,-391.0,-50.27,-0.18,-33.0,255.0,-24.0
3.76,-285.0,-42.75,-0.15,-12.2,-592.0,-76.11,-0.27,-44.6,255.0,-24.0
3.84,-321.0,-48.15,-0.18,-7.6,-831.0,-106.84,-0.39,-52.2,255.0,24.0
3.92,-308.0,-46.2,-0.2,3.2,-1082.0,-139.11,-0.52,-54.6,255.0,24.0
4.0,-224.0,-33.6,-0.18,18.8,-1322.0,-169.97,-0.65,-52.0,255.0,24.0
4.08,-78.0,-11.7,-0.13,32.0,-1531.0,-196.84,-0.8,-45.2,255.0,24.0
4.16,94.0,14.1,-0.07,37.6,-1694.0,-217.8,-0.94,-35.4,255.0,24.0
4.24,256.0,38.4,-0.02,35.4,-1794.0,-230.66,-1.07,-21.6,255.0,24.0
4.32,370.0,55.5,0.03,24.8,-1824.0,-234.51,-1.19,-6.8,255.0,24.0
4.39,386.0,57.9,0.04,2.4,-1806.0,-232.2,-1.3,4.0,255.0,-24.0
4.47,274.0,41.1,0.03,-26.8,-1764.0,-226.8,-1.38,9.2,255.0,-24.0
4.54,61.0,9.15,-0.01,-48.6,-1711.0,-219.99,-1.46,11.2,255.0,-24.0
4.62,-183.0,-27.45,-0.05,-55.4,-1663.0,-213.81,-1.51,10.4,255.0,-24.0
4.7,-383.0,-57.45,-0.07,-45.8,-1636.0,-210.34,-1.54,5.8,255.0,-24.0
4.78,-470.0,-70.5,-0.05,-21.4,-1644.0,-211.37,-1.56,-1.6,255.0,-24.0
4.86,-416.0,-62.4,-0.02,10.2,-1689.0,-217.16,-1.57,-9.6,255.0,-24.0
