Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s]
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83
1.01,0.0,0.0,0.0,0.0,-249.0,-298.8,249.17,293.83
1.02,1.0,0.18,0.0,0.0,-249.0,-298.8,-0.83,512.83
1.02,1.0,0.18,0.0,0.0,-248.0,-297.6,-0.83,688.67
1.03,2.0,0.36,0.0,0.0,-247.0,-296.4,-0.83,835.17
1.03,2.0,0.36,0.0,0.0,-246.0,-295.2,-0.83,1010.0
1.04,3.0,0.54,0.0,0.0,-245.0,-294.0,-0.83,1185.67
1.04,4.0,0.72,0.0,0.0,-244.0,-292.8,-1.67,1070.17
1.05,5.0,0.9,0.0,0.0,-243.0,-291.6,-1.67,1027.67
1.05,6.0,1.08,0.0,0.0,-241.0,-289.2,-1.67,1027.67
1.06,7.0,1.26,0.0,0.0,-240.0,-288.0,-1.67,1057.67
1.06,8.0,1.44,0.0,0.0,-239.0,-286.8,-1.67,1029.0
1.07,9.0,1.62,0.0,0.0,-238.0,-285.6,-1.5,999.67
1.07,10.0,1.8,0.0,0.0,-236.0,-283.2,-1.5,999.0
1.08,11.0,1.98,0.0,0.0,-235.0,-282.0,-1.5,998.33
1.08,12.0,2.16,0.0,0.0,-234.0,-280.8,-1.5,998.33
1.09,13.0,2.34,0.0,0.0,-233.0,-279.6,-1.5,997.0
1.1,14.0,2.52,0.0,0.0,-232.0,-278.4,-1.5,1025.0
1.1,15.0,2.7,0.0,0.0,-232.0,-278.4,-1.33,1053.67
1.11,16.0,2.88,0.0,0.0,-231.0,-277.2,-1.33,1053.0
1.11,17.0,3.06,0.0,0.0,-230.0,-276.0,-1.33,1002.17
1.12,18.0,3.24,0.0,0.0,-230.0,-276.0,-1.33,1001.5
1.12,19.0,3.42,0.0,0.0,-229.0,-274.8,-1.33,1001.5
1.13,19.0,3.42,0.0,0.0,-229.0,-274.8,-1.33,1001.5
1.13,20.0,3.6,0.0,0.0,-228.0,-273.6,-1.33,1000.17
1.14,21.0,3.78,0.0,0.0,-228.0,-273.6,-1.33,970.33
1.14,22.0,3.96,0.0,0.0,-228.0,-273.6,-1.33,1019.83
1.15,22.0,3.96,0.0,0.0,-228.0,-273.6,-1.33,1019.17
1.15,23.0,4.14,0.0,0.0,-228.0,-273.6,-1.33,989.33
1.16,24.0,4.32,0.0,0.0,-228.0,-273.6,-1.33,988.0
1.16,24.0,4.32,0.0,0.0,-228.0,-273.6,-1.33,987.33
1.17,25.0,4.5,0.0,0.0,-228.0,-273.6,-1.33,1015.83
1.17,25.0,4.5,0.0,0.0,-228.0,-273.6,-1.33,985.5
1.18,26.0,4.68,0.0,0.0,-229.0,-274.8,-1.33,984.83
1.18,26.0,4.68,0.0,0.0,-229.0,-274.8,-1.33,1012.5
1.19,27.0,4.86,0.0,0.0,-230.0,-276.0,-1.33,1011.67
1.2,27.0,4.86,0.0,0.0,-230.0,-276.0,-1.33,981.5
1.2,28.0,5.04,0.0,0.0,-231.0,-277.2,-1.33,980.0
1.21,28.0,5.04,0.0,0.0,-232.0,-278.4,-1.33,1008.83
1.21,29.0,5.22,0.0,0.0,-233.0,-279.6,-1.33,1008.0
1.22,29.0,5.22,0.0,0.0,-234.0,-280.8,-1.33,979.17
1.22,29.0,5.22,0.0,0.0,-235.0,-282.0,-1.33,978.5
1.23,30.0,5.4,0.0,0.0,-236.0,-283.2,-1.33,1007.17
1.23,30.0,5.4,0.0,0.0,-237.0,-284.4,-1.33,1007.17
1.24,30.0,5.4,0.0,0.0,-238.0,-285.6,-1.33,1006.5
1.24,30.0,5.4,0.0,0.0,-239.0,-286.8,-1.5,977.17
1.25,31.0,5.58,0.0,0.0,-240.0,-288.0,-1.5,976.67
1.25,31.0,5.58,0.0,0.0,-241.0,-289.2,-1.5,976.0
1.26,31.0,5.58,0.0,0.0,-242.0,-290.4,-1.5,975.33
1.26,31.0,5.58,0.0,0.0,-244.0,-292.8,-1.5,975.33
1.27,31.0,5.58,0.0,0.0,-245.0,-294.0,-1.5,974.67
1.27,31.0,5.58,0.0,0.0,-246.0,-295.2,-1.67,1002.67
1.28,31.0,5.58,0.0,0.0,-248.0,-297.6,-1.67,1030.67
1.28,31.0,5.58,0.0,0.0,-249.0,-298.8,-1.67,1002.0
1.29,31.0,5.58,0.0,0.0,-250.0,-300.0,-1.67,973.33
1.3,31.0,5.58,0.0,0.0,-252.0,-302.4,-1.67,972.67
1.3,31.0,5.58,0.0,0.0,-253.0,-303.6,-1.67,972.67
1.31,32.0,5.76,0.0,0.0,-255.0,-306.0,-1.67,972.67
1.31,32.0,5.76,0.0,0.0,-256.0,-307.2,-1.67,972.67
1.32,31.0,5.58,0.0,0.0,-257.0,-308.4,-1.67,1001.33
1.32,31.0,5.58,0.0,0.0,-259.0,-310.8,-1.67,1030.0
1.33,31.0,5.58,0.0,0.0,-260.0,-312.0,-1.67,1001.33
1.33,31.0,5.58,0.0,0.0,-262.0,-314.4,-1.67,973.33
1.34,31.0,5.58,0.0,0.0,-263.0,-315.6,-1.67,973.33
1.34,31.0,5.58,0.0,0.0,-264.0,-316.8,-1.67,973.33
1.35,31.0,5.58,0.0,0.0,-266.0,-319.2,-1.67,974.0
1.35,31.0,5.58,0.0,0.0,-267.0,-320.4,-1.67,974.67
1.36,31.0,5.58,0.0,0.0,-268.0,-321.6,-1.67,1004.0
1.36,31.0,5.58,0.0,0.0,-269.0,-322.8,-1.67,1032.67
1.37,31.0,5.58,0.0,0.0,-270.0,-324.0,-1.67,1004.67
1.37,31.0,5.58,0.0,0.0,-271.0,-325.2,-1.67,976.67
1.38,31.0,5.58,0.0,0.0,-272.0,-326.4,-1.67,976.67
1.38,31.0,5.58,0.0,0.0,-273.0,-327.6,-1.67,976.67
1.39,30.0,5.4,0.0,0.0,-274.0,-328.8,-1.67,976.67
1.4,30.0,5.4,0.0,0.0,-275.0,-330.0,-1.67,977.33
1.4,30.0,5.4,0.0,0.0,-276.0,-331.2,-1.67,1006.67
1.41,30.0,5.4,0.0,0.0,-276.0,-331.2,-1.67,1036.0
