Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s],PWM,Tensao
0,0,0,0,0,0,0,0,0,0,0
5.92,1.0,0.15,0.0,0.0,-5.0,-0.64,-0.0,-6.8,255.0,24.0
5.92,0.0,0.0,0.0,-4.2,-6.0,-0.77,-0.0,-9.4,255.0,24.0
5.98,-7.0,-1.05,-0.0,-5.0,-13.0,-1.67,-0.01,-10.0,255.0,24.0
6.06,-22.0,-3.3,-0.01,-7.6,-14.0,-1.8,-0.01,-6.2,255.0,24.0
6.13,-56.0,-8.4,-0.03,-12.2,-6.0,-0.77,-0.0,-4.2,255.0,24.0
6.2,-117.0,-17.55,-0.06,-15.0,17.0,2.19,0.01,2.8,255.0,24.0
6.27,-206.0,-30.9,-0.11,-21.0,54.0,6.94,0.02,8.6,255.0,24.0
6.35,-318.0,-47.7,-0.17,-26.6,96.0,12.34,0.04,9.4,255.0,24.0
6.42,-452.0,-67.8,-0.24,-32.0,124.0,15.94,0.05,6.4,255.0,24.0
6.49,-581.0,-87.15,-0.32,-30.6,110.0,14.14,0.04,-3.4,255.0,24.0
6.57,-679.0,-101.85,-0.38,-23.4,32.0,4.11,0.01,-18.2,255.0,24.0
6.64,-731.0,-109.65,-0.44,-13.0,-95.0,-12.21,-0.04,-29.6,255.0,24.0
6.72,-728.0,-109.2,-0.49,-0.2,-237.0,-30.47,-0.08,-33.0,255.0,24.0
6.8,-661.0,-99.15,-0.51,14.2,-350.0,-45.0,-0.11,-26.4,255.0,24.0
6.88,-526.0,-78.9,-0.51,29.8,-408.0,-52.46,-0.13,-14.2,255.0,24.0
6.96,-326.0,-48.9,-0.47,44.2,-401.0,-51.56,-0.13,0.6,255.0,24.0
7.03,-80.0,-12.0,-0.4,55.0,-320.0,-41.14,-0.13,17.6,255.0,24.0
7.11,189.0,28.35,-0.28,60.4,-167.0,-21.47,-0.12,34.2,255.0,24.0
7.18,456.0,68.4,-0.14,60.0,32.0,4.11,-0.09,44.6,255.0,24.0
7.25,694.0,104.1,0.02,53.8,223.0,28.67,-0.06,43.4,255.0,24.0
7.33,877.0,131.55,0.18,41.6,365.0,46.93,-0.02,32.8,255.0,24.0
7.4,982.0,147.3,0.34,24.0,447.0,57.47,0.02,19.0,255.0,24.0
7.47,1004.0,150.6,0.48,4.4,460.0,59.14,0.06,3.0,255.0,24.0
7.54,960.0,144.0,0.6,-10.8,378.0,48.6,0.09,-19.8,255.0,24.0
7.62,875.0,131.25,0.7,-20.0,196.0,25.2,0.1,-43.2,255.0,24.0
7.69,773.0,115.95,0.77,-24.0,-37.0,-4.76,0.08,-55.6,255.0,24.0
7.76,679.0,101.85,0.81,-22.0,-259.0,-33.3,0.05,-53.2,255.0,24.0
7.84,612.0,91.8,0.83,-16.0,-407.0,-52.33,0.02,-36.0,255.0,24.0
7.91,583.0,87.45,0.83,-7.0,-444.0,-57.09,0.01,-10.0,255.0,24.0
7.99,599.0,89.85,0.82,3.6,-369.0,-47.44,0.0,16.8,255.0,24.0
8.06,652.0,97.8,0.8,12.6,-198.0,-25.46,-0.0,39.6,255.0,24.0
8.13,729.0,109.35,0.79,17.8,21.0,2.7,-0.01,51.2,255.0,24.0
8.2,806.0,120.9,0.78,17.8,230.0,29.57,-0.01,48.8,255.0,24.0
8.28,866.0,129.9,0.77,13.8,370.0,47.57,-0.02,32.6,255.0,24.0
8.35,896.0,134.4,0.77,7.0,402.0,51.69,-0.02,7.4,255.0,24.0
8.42,878.0,131.7,0.77,-4.4,341.0,43.84,-0.01,-14.6,255.0,24.0
8.49,799.0,119.85,0.76,-18.8,218.0,28.03,0.01,-29.4,255.0,24.0
8.57,670.0,100.5,0.73,-30.6,58.0,7.46,0.04,-38.0,255.0,24.0
8.64,515.0,77.25,0.69,-36.8,-106.0,-13.63,0.06,-39.2,255.0,24.0
8.71,353.0,52.95,0.64,-38.2,-237.0,-30.47,0.06,-31.0,255.0,24.0
8.79,200.0,30.0,0.57,-36.0,-301.0,-38.7,0.05,-15.2,255.0,24.0
8.86,75.0,11.25,0.5,-29.4,-297.0,-38.19,0.02,0.6,255.0,24.0
8.94,2.0,0.3,0.42,-17.4,-251.0,-32.27,-0.01,10.6,255.0,24.0
9.01,-9.0,-1.35,0.35,-2.6,-185.0,-23.79,-0.06,15.2,255.0,24.0
9.08,29.0,4.35,0.28,9.6,-105.0,-13.5,-0.09,18.0,255.0,24.0
9.15,99.0,14.85,0.24,16.6,-16.0,-2.06,-0.11,20.2,255.0,24.0
9.22,180.0,27.0,0.2,19.0,68.0,8.74,-0.1,19.4,255.0,24.0
9.29,254.0,38.1,0.17,17.6,135.0,17.36,-0.07,15.4,255.0,24.0
9.36,303.0,45.45,0.16,11.6,182.0,23.4,-0.03,10.6,255.0,24.0
9.44,305.0,45.75,0.15,0.8,216.0,27.77,0.01,7.8,255.0,24.0
9.5,256.0,38.4,0.15,-12.0,238.0,30.6,0.06,4.8,255.0,24.0
9.58,157.0,23.55,0.13,-23.8,240.0,30.86,0.1,0.2,255.0,24.0
9.65,21.0,3.15,0.11,-32.4,212.0,27.26,0.13,-6.6,255.0,24.0
9.72,-126.0,-18.9,0.07,-35.8,141.0,18.13,0.12,-17.4,255.0,24.0
9.79,-266.0,-39.9,0.02,-33.8,26.0,3.34,0.09,-27.4,255.0,24.0
9.86,-379.0,-56.85,-0.04,-27.6,-107.0,-13.76,0.05,-31.8,255.0,24.0
9.94,-449.0,-67.35,-0.1,-17.4,-229.0,-29.44,0.0,-29.0,255.0,24.0
10.02,-458.0,-68.7,-0.16,-3.4,-316.0,-40.63,-0.03,-21.2,255.0,24.0
10.1,-399.0,-59.85,-0.2,12.2,-352.0,-45.26,-0.06,-9.8,255.0,24.0
10.18,-289.0,-43.35,-0.22,24.2,-310.0,-39.86,-0.08,8.2,255.0,24.0
10.25,-153.0,-22.95,-0.22,30.0,-174.0,-22.37,-0.07,29.6,255.0,24.0
10.33,-9.0,-1.35,-0.2,31.4,18.0,2.31,-0.04,42.6,255.0,24.0
10.4,122.0,18.3,-0.17,29.0,210.0,27.0,-0.01,42.4,255.0,24.0
10.48,226.0,33.9,-0.12,23.0,344.0,44.23,0.01,29.2,255.0,24.0
10.55,287.0,43.05,-0.06,13.4,389.0,50.01,0.02,8.8,255.0,24.0
10.62,298.0,44.7,0.0,1.8,342.0,43.97,0.01,-12.4,255.0,24.0
