Tempo,Pulsos Encoder Motor,Posição Angular do Motor [graus],Posição Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder Pêndulo,Posição Angular Pêndulo em [graus],Posição Angular Pêndulo [rad],Velocidade Angular do Pêndulo [rad/s]
1.0,-1.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-3.0,-0.54,0.0,0.0,0.0,0.0,0.0,1.0
1.04,-4.0,-0.72,0.0,0.0,1.0,1.2,0.0,1.67
1.09,-2.0,-0.36,0.0,0.0,8.0,9.6,0.0,3.5
1.14,7.0,1.26,0.0,0.0,-229.0,-274.8,249.33,24.0
1.2,28.0,5.04,0.0,0.0,-207.0,-248.4,-0.67,43.5
1.26,64.0,11.52,0.0,0.0,-179.0,-214.8,-0.5,64.17
1.32,115.0,20.7,0.0,0.0,-148.0,-177.6,-0.5,82.33
1.38,180.0,32.4,0.0,0.0,-126.0,-151.2,-0.33,96.67
1.44,251.0,45.18,0.0,0.0,-123.0,-147.6,-0.33,104.83
1.51,327.0,58.86,0.17,0.0,-147.0,-176.4,-1.17,89.0
1.57,400.0,72.0,0.17,0.0,-195.0,-234.0,-1.33,71.5
1.63,469.0,84.42,0.17,0.0,-259.0,-310.8,-1.33,53.33
1.69,532.0,95.76,0.17,0.0,-325.0,-390.0,-1.5,40.67
1.75,590.0,106.2,0.17,0.0,-373.0,-447.6,-1.5,38.33
1.81,645.0,116.1,0.33,0.0,-388.0,-465.6,-1.67,47.83
1.88,699.0,125.82,0.5,0.0,-366.0,-439.2,-1.67,67.67
1.94,749.0,134.82,0.5,0.0,-315.0,-378.0,-1.67,91.17
2.0,794.0,142.92,0.5,0.0,-252.0,-302.4,-1.67,111.83
2.06,830.0,149.4,0.5,0.0,-199.0,-238.8,-1.67,122.17
2.13,856.0,154.08,0.5,0.0,-173.0,-207.6,-1.67,119.67
2.19,871.0,156.78,0.67,0.0,-181.0,-217.2,-1.83,105.0
2.25,875.0,157.5,0.67,0.0,-220.0,-264.0,-1.83,83.83
2.32,871.0,156.78,0.67,0.0,-272.0,-326.4,-1.83,64.0
2.38,864.0,155.52,0.67,0.0,-318.0,-381.6,-1.83,52.0
2.44,856.0,154.08,0.67,0.0,-341.0,-409.2,-1.83,52.67
