Tempo,Pulsos Encoder Motor,Posi��o Angular do Motor [graus],Posi��o Angular do Motor [rad],Velocidade Angular do Motor [rad/s],Pulsos Encoder P�ndulo,Posi��o Angular P�ndulo em [graus],Posi��o Angular P�ndulo [rad],Velocidade Angular do P�ndulo [rad/s],PWM,Tensao
0,0,0,0,0,0,0,0,0,0,0
10.34,-1.0,-0.15,-0.0,3.4,0.0,0.0,0.0,0.0,4.0,0
10.34,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,4.0,0
10.55,-1.0,-0.15,-0.0,-3.4,11.0,1.41,0.01,0.8,1.0,0
10.56,0.0,0.0,0.0,0.0,13.0,1.67,0.01,1.0,1.0,0
10.62,-3.0,-0.45,-0.0,-0.2,66.0,8.49,0.03,13.0,13.0,3.0
10.69,-9.0,-1.35,-0.0,-1.2,148.0,19.03,0.07,13.0,12.0,2.0
10.76,-24.0,-3.6,-0.01,-3.2,304.0,39.09,0.14,13.8,11.0,2.0
10.84,-40.0,-6.0,-0.02,-3.4,512.0,65.83,0.23,14.6,11.0,2.0
10.91,-54.0,-8.1,-0.03,-2.8,736.0,94.63,0.34,15.6,13.0,3.0
10.98,-61.0,-9.15,-0.03,-1.6,917.0,117.9,0.43,16.6,15.0,3.0
11.06,-59.0,-8.85,-0.03,0.4,1048.0,134.74,0.5,5.2,6.0,1.0
11.13,-39.0,-5.85,-0.03,4.6,1054.0,135.51,0.54,4.8,9.0,2.0
11.2,-1.0,-0.15,-0.01,8.4,935.0,120.21,0.56,3.4,12.0,2.0
11.28,40.0,6.0,0.0,9.2,745.0,95.79,0.56,1.2,10.0,2.0
11.34,78.0,11.7,0.01,8.6,550.0,70.71,0.58,-1.2,7.0,1.0
11.41,109.0,16.35,0.03,7.0,413.0,53.1,0.6,-3.0,4.0,0
11.48,122.0,18.3,0.03,3.0,389.0,50.01,0.64,-3.6,0,0
11.56,115.0,17.25,0.04,-1.6,487.0,62.61,0.69,-3.0,4.0,0
11.63,100.0,15.0,0.05,-3.6,661.0,84.99,0.72,-1.4,4.0,0
11.7,83.0,12.45,0.06,-4.0,847.0,108.9,0.71,0.6,3.0,0
11.77,70.0,10.5,0.08,-3.2,986.0,126.77,0.69,2.6,0,0
11.84,69.0,10.35,0.09,-0.6,1026.0,131.91,0.65,3.6,3.0,0
11.91,82.0,12.3,0.11,2.8,951.0,122.27,0.6,3.2,6.0,1.0
11.98,102.0,15.3,0.11,4.4,796.0,102.34,0.58,1.6,6.0,1.0
12.05,121.0,18.15,0.12,4.2,620.0,79.71,0.57,-0.4,4.0,0
12.12,133.0,19.95,0.11,2.8,484.0,62.23,0.6,-2.2,0,0
12.19,132.0,19.8,0.11,-0.2,438.0,56.31,0.64,-3.2,3.0,0
12.27,113.0,16.95,0.1,-4.0,501.0,64.41,0.69,-3.2,6.0,1.0
12.34,86.0,12.9,0.09,-6.0,641.0,82.41,0.71,-2.0,7.0,1.0
12.41,58.0,8.7,0.08,-6.2,802.0,103.11,0.72,0.0,6.0,1.0
12.48,36.0,5.4,0.08,-5.0,927.0,119.19,0.69,1.8,2.0,0
12.55,26.0,3.9,0.08,-2.2,967.0,124.33,0.65,2.8,0,0
12.62,32.0,4.8,0.09,1.4,908.0,116.74,0.6,2.8,4.0,0
12.69,46.0,6.9,0.08,3.4,776.0,99.77,0.57,1.8,5.0,1.0
12.75,62.0,9.3,0.08,3.6,624.0,80.23,0.57,0.0,3.0,0
12.82,72.0,10.8,0.07,2.4,508.0,65.31,0.59,-1.6,1.0,0
12.89,71.0,10.65,0.06,-0.4,471.0,60.56,0.63,-2.6,2.0,0
12.96,56.0,8.4,0.04,-3.6,530.0,68.14,0.67,-2.6,5.0,1.0
13.03,34.0,5.1,0.03,-5.4,654.0,84.09,0.7,-1.8,6.0,1.0
13.1,12.0,1.8,0.03,-5.2,792.0,101.83,0.7,-0.2,5.0,1.0
13.17,-1.0,-0.15,0.03,-3.6,893.0,114.81,0.68,1.4,1.0,0
13.24,-2.0,-0.3,0.04,-0.6,918.0,118.03,0.64,2.0,1.0,0
13.31,9.0,1.35,0.04,2.6,859.0,110.44,0.6,2.0,4.0,0
13.38,29.0,4.35,0.04,4.4,744.0,95.66,0.57,1.2,5.0,1.0
13.45,49.0,7.35,0.04,4.4,620.0,79.71,0.57,-0.2,4.0,0
13.52,62.0,9.3,0.04,2.8,536.0,68.91,0.6,-1.4,1.0,0
13.59,64.0,9.6,0.03,0.0,526.0,67.63,0.64,-2.0,1.0,0
13.65,53.0,7.95,0.03,-2.6,593.0,76.24,0.68,-1.6,3.0,0
13.72,37.0,5.55,0.02,-3.8,705.0,90.64,0.7,-0.8,4.0,0
13.79,24.0,3.6,0.03,-3.4,816.0,104.91,0.7,0.4,2.0,0
13.86,18.0,2.7,0.04,-1.6,881.0,113.27,0.67,1.6,0,0
13.93,23.0,3.45,0.04,1.0,875.0,112.5,0.63,2.0,3.0,0
14.0,37.0,5.55,0.05,3.2,804.0,103.37,0.6,1.6,5.0,1.0
14.07,55.0,8.25,0.06,4.0,699.0,89.87,0.58,0.6,4.0,0
14.14,70.0,10.5,0.06,3.2,605.0,77.79,0.59,-0.6,2.0,0
14.21,76.0,11.4,0.05,1.2,560.0,72.0,0.62,-1.4,0,0
14.28,71.0,10.65,0.05,-1.4,583.0,74.96,0.66,-1.8,2.0,0
14.35,57.0,8.55,0.04,-3.2,660.0,84.86,0.69,-1.4,4.0,0
14.42,42.0,6.3,0.04,-3.6,756.0,97.2,0.7,-0.4,3.0,0
14.49,31.0,4.65,0.05,-2.8,829.0,106.59,0.69,0.6,1.0,0
14.56,29.0,4.35,0.05,-0.8,851.0,109.41,0.65,1.2,0,0
14.63,36.0,5.4,0.06,1.4,812.0,104.4,0.62,1.2,2.0,0
14.7,48.0,7.2,0.06,2.6,732.0,94.11,0.59,0.8,3.0,0
14.76,60.0,9.0,0.06,2.4,648.0,83.31,0.59,0.0,2.0,0
14.83,66.0,9.9,0.06,1.0,595.0,76.5,0.61,-0.8,0,0
14.9,62.0,9.3,0.05,-1.0,596.0,76.63,0.64,-1.2,1.0,0
14.97,51.0,7.65,0.04,-2.8,648.0,83.31,0.67,-1.0,3.0,0
15.04,36.0,5.4,0.04,-3.6,726.0,93.34,0.69,-0.4,3.0,0
15.11,25.0,3.75,0.04,-3.0,793.0,101.96,0.68,0.4,2.0,0
15.18,21.0,3.15,0.04,-1.2,822.0,105.69,0.66,0.8,0,0
15.25,26.0,3.9,0.05,0.8,801.0,102.99,0.63,1.0,2.0,0
15.32,36.0,5.4,0.05,2.2,743.0,95.53,0.6,0.8,3.0,0
15.38,48.0,7.2,0.05,2.4,674.0,86.66,0.59,0.2,2.0,0
15.45,55.0,8.25,0.05,1.6,625.0,80.36,0.61,-0.4,1.0,0
15.52,54.0,8.1,0.04,0.0,618.0,79.46,0.63,-0.8,0,0
15.59,47.0,7.05,0.04,-1.6,655.0,84.21,0.66,-0.6,1.0,0
15.66,37.0,5.55,0.03,-2.2,715.0,91.93,0.68,-0.4,2.0,0
15.73,28.0,4.2,0.03,-1.8,771.0,99.13,0.68,0.0,1.0,0
15.8,26.0,3.9,0.04,-0.4,798.0,102.6,0.66,0.4,0,0
15.87,30.0,4.5,0.04,1.0,786.0,101.06,0.63,0.6,1.0,0
15.94,39.0,5.85,0.05,2.2,742.0,95.4,0.61,0.4,2.0,0
16.0,49.0,7.35,0.05,2.4,688.0,88.46,0.6,0.0,2.0,0
16.07,55.0,8.25,0.05,1.6,649.0,83.44,0.61,-0.4,1.0,0
16.14,55.0,8.25,0.04,0.2,642.0,82.54,0.63,-0.6,0,0
16.21,49.0,7.35,0.04,-1.2,669.0,86.01,0.66,-0.6,1.0,0
16.28,41.0,6.15,0.04,-1.8,714.0,91.8,0.67,-0.4,1.0,0
16.35,34.0,5.1,0.04,-1.6,757.0,97.33,0.67,0.0,1.0,0
16.42,32.0,4.8,0.04,-0.8,777.0,99.9,0.66,0.2,0,0
16.48,35.0,5.25,0.05,0.2,768.0,98.74,0.64,0.4,0,0
16.55,41.0,6.15,0.05,1.0,734.0,94.37,0.62,0.2,1.0,0
16.62,48.0,7.2,0.05,1.2,694.0,89.23,0.61,0.0,1.0,0
16.69,52.0,7.8,0.05,0.6,665.0,85.5,0.62,-0.2,0,0
16.76,51.0,7.65,0.04,-0.4,661.0,84.99,0.64,-0.4,0,0
16.83,46.0,6.9,0.04,-1.2,682.0,87.69,0.65,-0.4,1.0,0
16.89,39.0,5.85,0.04,-1.6,715.0,91.93,0.67,-0.2,1.0,0
16.96,34.0,5.1,0.04,-1.2,745.0,95.79,0.66,0.0,0,0
17.03,32.0,4.8,0.04,-0.4,758.0,97.46,0.65,0.2,0,0
17.1,35.0,5.25,0.05,0.4,749.0,96.3,0.63,0.2,0,0
17.17,40.0,6.0,0.05,1.0,725.0,93.21,0.62,0.2,1.0,0
17.24,45.0,6.75,0.05,1.0,698.0,89.74,0.62,0.2,1.0,0
17.3,47.0,7.05,0.05,0.6,680.0,87.43,0.63,0.0,0,0
17.37,47.0,7.05,0.04,0.0,680.0,87.43,0.64,0.0,0,0
17.44,43.0,6.45,0.04,-0.6,695.0,89.36,0.65,0.0,0,0
17.51,38.0,5.7,0.04,-0.6,718.0,92.31,0.66,0.0,0,0
17.58,36.0,5.4,0.04,-0.2,736.0,94.63,0.66,0.0,0,0
17.65,36.0,5.4,0.04,0.2,743.0,95.53,0.65,0.0,0,0
17.71,38.0,5.7,0.04,0.8,736.0,94.63,0.64,0.0,1.0,0
17.78,42.0,6.3,0.05,1.0,720.0,92.57,0.63,0.0,1.0,0
17.85,45.0,6.75,0.05,0.8,704.0,90.51,0.63,0.0,1.0,0
17.92,46.0,6.9,0.04,0.4,694.0,89.23,0.63,0.0,0,0
17.98,45.0,6.75,0.04,0.0,695.0,89.36,0.64,0.0,0,0
18.05,42.0,6.3,0.04,-0.2,705.0,90.64,0.65,0.0,0,0
18.12,40.0,6.0,0.04,-0.2,717.0,92.19,0.65,0.0,0,0
18.19,39.0,5.85,0.04,0.0,726.0,93.34,0.65,0.0,0,0
18.26,40.0,6.0,0.04,0.2,728.0,93.6,0.64,0.0,0,0
18.32,41.0,6.15,0.05,0.4,725.0,93.21,0.64,0.0,0,0
18.39,43.0,6.45,0.05,0.4,717.0,92.19,0.63,0.0,0,0
18.46,44.0,6.6,0.05,0.4,710.0,91.29,0.64,0.0,0,0
18.53,44.0,6.6,0.04,0.2,706.0,90.77,0.64,0.0,0,0
18.59,43.0,6.45,0.04,0.0,707.0,90.9,0.64,0.0,0,0
18.66,42.0,6.3,0.04,0.0,710.0,91.29,0.65,0.0,0,0
18.73,41.0,6.15,0.04,0.0,714.0,91.8,0.65,0.0,0,0
18.8,41.0,6.15,0.04,0.0,716.0,92.06,0.64,0.0,0,0
18.86,41.0,6.15,0.04,0.0,718.0,92.31,0.64,0.0,0,0
18.93,42.0,6.3,0.05,0.0,717.0,92.19,0.64,0.0,0,0
19.0,43.0,6.45,0.05,0.0,716.0,92.06,0.64,0.0,0,0
19.07,43.0,6.45,0.04,0.0,715.0,91.93,0.64,0.0,0,0
19.14,43.0,6.45,0.04,0.0,715.0,91.93,0.64,0.0,0,0
19.2,43.0,6.45,0.04,0.0,715.0,91.93,0.64,0.0,0,0
19.27,43.0,6.45,0.04,0.0,715.0,91.93,0.64,0.0,0,0
19.34,43.0,6.45,0.04,0.0,715.0,91.93,0.64,0.0,0,0
19.41,43.0,6.45,0.05,0.0,596.0,76.63,0.59,-0.6,0,0
19.47,44.0,6.6,0.05,0.0,476.0,61.2,0.53,-1.2,0,0
19.54,44.0,6.6,0.05,0.0,357.0,45.9,0.48,-1.8,1.0,0
19.61,37.0,5.55,0.04,-1.8,238.0,30.6,0.43,-2.4,3.0,0
19.68,29.0,4.35,0.04,-1.8,119.0,15.3,0.37,-3.0,4.0,0
19.75,22.0,3.3,0.03,-1.8,0.0,0.0,0.32,-3.6,4.0,0
19.82,14.0,2.1,0.03,-1.8,0.0,0.0,0.27,-3.0,4.0,0
19.88,7.0,1.05,0.03,-1.8,0.0,0.0,0.21,-2.4,3.0,0
